facility_name,category2,latitude,longitude,land_lot_address,phone_number,operating_hours
갤러리K,전시/기념관,37.5511821,126.98765,서울특별시 용산구 용산동2가 산 1-11,02-1833-8223,10:00-19:00
갤러리LVS,전시/기념관,37.52209649,127.027229,서울특별시 강남구 신사동 565-18,02-3443-7475,09:00-18:00
갤러리W가회,전시/기념관,37.58263973,126.984467,서울특별시 종로구 가회동 16-17,02-745-7253,"전시별 상이, 홈페이지 참조"
거창박물관,전시/기념관,37.57883739,127.036584,서울특별시 동대문구 제기동 1140-55,02-960-6790,10:00-18:00
건국대학교박물관,전시/기념관,37.53918267,127.074712,서울특별시 광진구 화양동 1,0507-1430-3880,10:00-16:00
걷기교육문화원,영화/연극/공연,37.46729972,127.034959,서울특별시 서초구 양재동 204,02-523-2383,정보없음
겸재정선미술관,전시/기념관,37.57222297,126.838412,서울특별시 강서구 가양동 243-1,02-2659-2206,"3월-10월 10:00-18:00, 11월-2월 10:00-17:00, 공휴일 10:00-17:00, 1시간 전 입장마감"
경복궁,명승지,37.57590409,126.976842,서울특별시 종로구 세종로 1-1,02-3700-3900,운영시간상이
경복궁아트홀,영화/연극/공연,37.58335259,126.970697,서울특별시 종로구 효자동 70-1,02-305-0525,정보없음
경인미술관,전시/기념관,37.57459086,126.985723,서울특별시 종로구 관훈동 30-1,02-733-4448,10:00-18:00
경주사업총괄본부,대형레저시설,37.60650314,127.02851,서울특별시 성북구 하월곡동 88-678,02-918-0542,10:00-18:00
경찰박물관,전시/기념관,37.5720573,126.962196,서울특별시 종로구 행촌동 211-1,02-3150-3681,9:30-17:30
경춘선숲길갤러리,전시/기념관,37.62530282,127.094051,서울특별시 노원구 공릉동 29-53,,12:00-22:00
경향갤러리,전시/기념관,37.56817327,126.969976,서울특별시 중구 정동 22,02-6731-6750,"월-금 10:00-21:00, 토 10:00-19:00, 일 12:00-19:00"
경향아트힐,영화/연극/공연,37.56817327,126.969976,서울특별시 중구 정동 22,,정보없음
경험과상상,영화/연극/공연,37.53259352,126.897171,서울특별시 영등포구 당산동5가 7-2,02-6949-2016,10:00-22:00
경화실,전시/기념관,37.56206474,126.852482,서울특별시 강서구 등촌동 717,02-2658-7712,10:00-19:00
경희궁,명승지,37.57176907,126.967985,서울특별시 종로구 신문로2가 1-126,02-724-0274,09:00-18:00
경희대학교자연사박물관,전시/기념관,37.59394914,127.054891,서울특별시 동대문구 회기동 1-5,02-961-0142,"월-금 10:00-15:00,수 10:00-20:00"
경희대학교중앙박물관,전시/기념관,37.59394914,127.054891,서울특별시 동대문구 회기동 1-5,02-961-0141,10:00-17:00
계남공원서울유아숲체험현장,관광지,37.50962582,126.855977,서울특별시 양천구 신정동 산 102,02-2620-3575,상시개방
고당기념관,전시/기념관,37.565459,126.990095,서울특별시 중구 저동2가 4 고당기념관,02-2265-0220,09:30-17:30
고덕마을활력소,영화/연극/공연,37.56028078,127.165071,서울특별시 강동구 고덕동 225-10,02-441-2006,10:00-18:00
고려대학교백주년기념관,전시/기념관,37.58870342,127.031698,서울특별시 성북구 안암동5가 1-2,02-3290-1511,월-토 10:00-17:00
고위드피트니스보라매골프,대형체육시설,37.49209014,126.923508,서울특별시 동작구 신대방동 395-65,0507-1397-8484,"평일 오전 6:00-오전 12:00, 토요일 오전 6:00-오후 8:00, 일요일 오전 10:00-오후 8:00"
고척스카이돔,대형체육시설,37.49821257,126.867089,서울특별시 구로구 고척동 63-6,02-2128-2300,행사별 상이
고촌이종근기념관,전시/기념관,37.55967811,126.963202,서울특별시 서대문구 충정로3가 368,070-7094-4510,"하절기(3-10월) 10:00-17:00, 동절기(11-2월) 10:00-16:00"
고트,대형체육시설,37.52657201,127.041294,서울특별시 강남구 청담동 83-2,0507-1347-2451,"주중 10:00-22:00, 주말 08:00-20:00"
골든블루마리나,대형레저시설,37.5124362,126.995962,서울특별시 서초구 반포동 650,02-599-0900,"월화수목 14:00-22:00, 주말 14:00-23:00"
골프리더,대형체육시설,37.49974746,126.863482,서울특별시 구로구 고척동 76-23,02-2617-7979,24시간 영업
골프앤,대형체육시설,37.53488531,127.091307,서울특별시 광진구 구의동 593-15,0507-1358-0187,06:00-24:00
골프에비뉴,대형체육시설,37.51253906,127.036076,서울특별시 강남구 논현동 249-6,02-3444-5551,"주중 08:00-22:00,주말 08:00-21:00"
골프존 성수제이펍,대형체육시설,37.54790553,127.064945,서울특별시 성동구 성수동2가 281-8,0507-1402-0054,매일10:00-새벽 03:00
골프존파크 ,대형체육시설,37.65984743,127.068904,서울특별시 노원구 상계동 1318,02-1661-9313,매일 08:00-00:00
골프존파크 ,대형체육시설,37.57105683,127.075114,서울특별시 동대문구 장안동 336,02-2247-1212,"평일 AM 06:00-AM 00:00, 주말 공휴일 AM 06:00-AM 00:00"
골프존파크 노고산 ,대형체육시설,37.55400394,126.936732,서울특별시 마포구 노고산동 107-17,02-717-0759,매일 09:00-01:00
공간222,영화/연극/공연,37.58938075,127.008782,서울특별시 성북구 동소문동2가 222,070-7562-9980,정보없음
공간4567,영화/연극/공연,37.48291914,127.046084,서울특별시 강남구 도곡동 456-7,0507-1334-2980,매일 06:00-02:00
공간사일삼,전시/기념관,37.51467644,126.890333,서울특별시 영등포구 문래동4가 31-48,,13:00-19:00
공간아울,영화/연극/공연,37.58187588,127.002293,서울특별시 종로구 동숭동 1-27,02-3675-0116,정보없음
공간황금향,전시/기념관,37.62663349,126.911428,서울특별시 은평구 갈현동 285-166,,정보없음
공간M아트센터,영화/연극/공연,37.59185861,127.014026,서울특별시 성북구 동소문동5가 15,02-927-2489,00:00-24:00
공공일클럽,영화/연극/공연,37.55100099,126.924017,서울특별시 마포구 서교동 360-18,,18:00-02:00
공아트스페이스,전시/기념관,37.57547648,126.983857,서울특별시 종로구 관훈동 118-2,02-735-9938,10:00-18:30
공예트렌드페어,전시/기념관,37.51182391,127.059159,서울특별시 강남구 삼성동 159,02-398-7939,10:00-18:00
공터,관광지,37.65284711,127.091497,서울특별시 노원구 중계동 산 102,02-2116-0545,정보없음
공평도시유적전시관,전시/기념관,37.57168081,126.98353,서울특별시 종로구 공평동 17,02-724-0135,09:00-18:00
과학전시관동부분관,전시/기념관,37.57489173,127.083439,서울특별시 중랑구 면목동 380,02-2209-9906,화-목 09:30-17:30
관문사성보박물관,전시/기념관,37.47375033,127.022282,서울특별시 서초구 우면동 56,02-3460-5300,10:00-18:00
관세박물관,전시/기념관,37.51830058,127.033779,서울특별시 강남구 논현동 71,02-510-1083,10:00-17:00
관악구민운동장,대형체육시설,37.47512278,126.957456,서울특별시 관악구 봉천동 산 56-117,02-2081-2660,06:00-22:00
관악문화원,영화/연극/공연,37.46759765,126.944871,서울특별시 관악구 신림동 209-1,02-885-5975,09:00-17:00
관악산공원서울유아숲체험현장,관광지,37.47413237,126.949416,서울특별시 관악구 봉천동 산 175-36,02-8796-5874,상시개방
관악산공원서울유아숲체험현장,관광지,37.46736547,126.909969,서울특별시 금천구 독산동 산 199-1,02-2627-1655,정보없음
관악산서울유아숲체험현장,관광지,37.470894,126.964038,서울특별시 관악구 봉천동 산 25,02-8796-5874,상시개방
관악산야외식물원,관광지,37.46205513,126.948165,서울특별시 관악구 신림동 205-1,02-879-6524,24시 운영
관악산자연공원,공원,37.465156,126.944485,서울특별시 관악구 신림동 산 27-1,02-2627-1653,00:00-24:00
관훈갤러리,전시/기념관,37.57090999,126.985444,서울특별시 종로구 인사동 235,02-733-6469,10:30-18:00
관훈미술관,전시/기념관,37.57367857,126.984735,서울특별시 종로구 관훈동 192-11,02-733-6469,10:30-18:30
광나루안전체험관,전시/기념관,37.55131484,127.077174,서울특별시 광진구 능동 18,02-2049-4061,10:00-17:00
광나루한강공원,공원,37.54821546,127.118175,서울특별시 강동구 천호동 523,02-3780-0501,00:00-24:00
광나루한강공원광나루유원지야구장,대형체육시설,37.53794823,127.112818,서울특별시 송파구 풍납동 45-3,02-3780-0833,"08:00-11:00, 11:00-14:00, 14:00-17:00"
광야아트센터,영화/연극/공연,37.5238902,127.039645,서울특별시 강남구 청담동 86,02-741-9182,정보없음
광진교8번가,영화/연극/공연,37.54514626,127.112688,서울특별시 강동구 천호동 527-2,02-120,매일 10:00-22:00
광태소극장,영화/연극/공연,37.46878628,126.93563,서울특별시 관악구 신림동 1535-17,,매일 10:00-22:00
광화문광장,공원,37.57162282,126.976788,서울특별시 종로구 세종로 1-68,02-120,상시개방
광화문아트홀,영화/연극/공연,37.57420982,126.964661,서울특별시 종로구 사직동 284-1,02-725-2311,09:00-22:00
교보아트스페이스,전시/기념관,37.57095784,126.977929,서울특별시 종로구 종로1가 1,02-1544-1900,11:00-20:00
구관,영화/연극/공연,37.58367334,127.003013,서울특별시 종로구 동숭동 1-9,,11:00-20:00
구로아트밸리,영화/연극/공연,37.4965583,126.888975,서울특별시 구로구 구로동 101,02-2029-1700,정보없음
구로안전체험교실,관광지,37.49422749,126.882548,서울특별시 구로구 구로동 409-60,02-2684-8119,09:30-17:00
구로청소년문화예술센터,영화/연극/공연,37.49485972,126.8911,서울특별시 구로구 구로동 90,02-6101-0780,09:00-18:00
구름아래소극장,영화/연극/공연,37.55411346,126.928599,서울특별시 마포구 서교동 337-11,02-3280-8800,정보없음
구립서초유스센터,영화/연극/공연,37.48550591,127.010358,서울특별시 서초구 서초동 1535-6,02-3486-1318,"월-토 09:00-21:00, 일 09:00-18:00"
구세군아트홀,영화/연극/공연,37.56011237,126.962282,서울특별시 서대문구 충정로3가 476,,정보없음
구세군역사박물관,전시/기념관,37.56799609,126.973957,서울특별시 중구 정동 1-23,02-725-1180,월-토 오전 10:00-오후 6:00
구의야구공원,대형체육시설,37.54721164,127.096818,서울특별시 광진구 구의동 164-5,02-3436-2890,"하절기(4-9월) : 조기 05:00-08:00, 주간 08:00-19:00, 야간 19:00-05:00, 동절기(10-3월) : 조기 06:00-09:00, 주간 09:00-18:00, 야간 18:00-06:00"
국가무형문화재전수교육관,영화/연극/공연,37.51009307,127.044625,서울특별시 강남구 삼성동 112-2,02-566-6300,10:00-19:00
국군무기발전실,전시/기념관,37.53731405,126.978466,서울특별시 용산구 용산동1가 8,02-709-3114,화-일 09:30-18:00
국기원기념관,전시/기념관,37.50090193,127.029677,서울특별시 강남구 역삼동 635-1,02-567-1058,"월-금 AM 09:00-11:30 / PM 1:00-5:30,점심시간 AM 11:30-PM 1:00)"
국립고궁박물관,전시/기념관,37.57659162,126.974975,서울특별시 종로구 세종로 1-57,02-3701-7500,10:00-18:00 (수·토요일은 10:00-21:00)
국립공원산악박물관,전시/기념관,37.68732834,127.034761,서울특별시 도봉구 도봉동 405,02-901-0788,10:00-16:00
국립국악원,영화/연극/공연,37.47771881,127.009818,서울특별시 서초구 서초동 740-4,02-580-3300,10:00-18:00
국립국악원연희마당,영화/연극/공연,37.47771881,127.009818,서울특별시 서초구 서초동 740-4,02-580-3302,토 20:00-21:30
국립국악원예악당,영화/연극/공연,37.4802402,127.014215,서울특별시 서초구 서초동 700,02-580-3300,화-일 10:00-18:00
국립국악원우면당,영화/연극/공연,37.4802402,127.014215,서울특별시 서초구 서초동 700,02-580-3333,화-일 10:00-18:00
국립국악원풍류사랑방,영화/연극/공연,37.47771881,127.009818,서울특별시 서초구 서초동 740-4,02-580-3300,화-일 10:00-18:00
국립극단소극장판,영화/연극/공연,37.55314654,126.968279,서울특별시 용산구 서계동 1,1644-2003,정보없음
국립극장,영화/연극/공연,37.55199491,126.999267,서울특별시 중구 장충동2가 산 14-67,02-2280-4114,정보없음
국립극장공연예술박물관,전시/기념관,37.55199491,126.999267,서울특별시 중구 장충동2가 산 14-67,02-2280-5806,10:00-18:00
국립기상박물관,전시/기념관,37.570222,126.966204,서울특별시 종로구 송월동 1-1 국립기상박물관,070-7850-8493,10:00-17:00
국립대한민국임시정부기념관,전시/기념관,37.57599973,126.954417,서울특별시 서대문구 현저동 산 5-5,02-772-8708,오전 10시-오후 6시 (입장시간: 관람 종료 1시간 전에 입장 마감)
국립민속박물관,전시/기념관,37.57590409,126.976842,서울특별시 종로구 세종로 1-1,02-3704-3114,09:00-18:00
국립산림과학원 산림과학관,전시/기념관,37.5940106,127.044831,서울특별시 동대문구 청량리동 207,02-961-2526,"학습목적 학교단체 관람: 화요일-금요일, 개인 및 일반단체 관람: 토요일-일요일 하절기(10:00-17:00) / 동절기(10:00-16:00)"
국립산림과학원홍릉수목원,관광지,37.5940106,127.044831,서울특별시 동대문구 청량리동 207,02-961-2777,"평일 10:30-15:30 3월-11월(화-금)-숲해설(10시30분,13시30분,15시30분), 주말 09:00-18:00 3월-10월(하절기)-자유관람, 주말 09:00-17:00 11월-2월(동절기)-자유관람, 주말 10:30-14:00 3월-11월-숲해설(10시30분,14시)"
국립어린이과학관,전시/기념관,37.58203191,126.997016,서울특별시 종로구 와룡동 2-70,02-3668-3350,관람시간 오전 9:30-오후 5:30
국립예술단공연연습장,영화/연극/공연,37.4802402,127.014215,서울특별시 서초구 서초동 700,,정보없음
국립정동극장세실,영화/연극/공연,37.56672262,126.976533,서울특별시 중구 정동 3-7,02-751-1500,월-금 오전 9시-오후6시
국립중앙박물관,전시/기념관,37.52470224,126.97774,서울특별시 용산구 용산동6가 168-6,02-2077-9000,"월, 화, 목, 금, 일요일: 10:00-18:00 (입장 마감: 17:30), 수, 토요일: 10:00-21:00 (입장 마감: 20:30)"
국립중앙박물관국립한글박물관,전시/기념관,37.5210688,126.980486,서울특별시 용산구 용산동6가 168-6,02-2124-6200,"관람 시간 월-금, 일요일 10:00-18:00, 토요일 10:00-21:00"
국립체육박물관(2023년예정),전시/기념관,37.5203397,127.115518,서울특별시 송파구 방이동 88,,정보없음
국립한국문학관(2024년예정),전시/기념관,37.63533679,126.934877,서울특별시 은평구 진관동 산 106-17,,정보없음
국립항공박물관,전시/기념관,37.55686977,126.808872,서울특별시 강서구 공항동 1373-5,02-6940-3198,10:00-18:00
국립현대미술관,전시/기념관,37.64074004,127.039389,서울특별시 도봉구 창동 601-107,02-995-0995,정보없음
국립현대미술관,전시/기념관,37.57862803,126.980088,서울특별시 종로구 소격동 165,02-3701-9500,"월 화 목 금 일 10:00-18:00, 수 토 10:00-21:00"
국립현대미술관,전시/기념관,37.56608683,126.973726,서울특별시 중구 정동 5-1,02-2022-0600,10:00-18:00
국립현충원,전시/기념관,37.49988073,126.971027,서울특별시 동작구 동작동 294-3,1522-1555,06:00-18:00
국민대학교박물관,전시/기념관,37.61028784,126.998521,서울특별시 성북구 정릉동 861-1,02-909-4210,"평일 10:00-17:00, 평일 10:00-16:00 방학 중"
국세홍보관,전시/기념관,37.57414969,126.9799,서울특별시 종로구 수송동 104,,"화요일-일요일, 9시-18시 (마감 한 시간 전 입장)"
국악기전시관,전시/기념관,37.5759125,126.989813,서울특별시 종로구 운니동 49-1,,정보없음
국제갤러리,전시/기념관,37.58072067,126.980574,서울특별시 종로구 소격동 48,02-735-8449,매일 10:00-18:00
국제뷰티산업교역협회,전시/기념관,37.4807624,126.880679,서울특별시 금천구 가산동 371-41,0507-1413-4640,상시운영
국제수면건강박람회,전시/기념관,37.51182391,127.059159,서울특별시 강남구 삼성동 159,02-2039-5976,10:00-18:00
국제예술대학교아트센터,영화/연극/공연,37.51759648,127.031379,서울특별시 강남구 논현동 75-4,02-542-8197,정보없음
국제의료기기병원설비전시회,전시/기념관,37.51182391,127.059159,서울특별시 강남구 삼성동 159,02-551-0102,10:00-18:00(일요일 17:00)
국제콘서트홀,영화/연극/공연,37.5168447,127.030625,서울특별시 강남구 논현동 80-7,02-543-8196,정보없음
국제환경산업기술그린에너지전,전시/기념관,37.51182391,127.059159,서울특별시 강남구 삼성동 159,02-3407-1542,10:00-18:00
국토발전전시관,전시/기념관,37.56681018,126.970082,서울특별시 중구 정동 28-5,02-3425-8900,화요일-일요일 오전 9시 30분-오후 5시 30분
국화소극장,영화/연극/공연,37.50478291,126.941357,서울특별시 동작구 상도동 170-26,02-822-5707,정보없음
국회의사당국회박물관,전시/기념관,37.53291197,126.916404,서울특별시 영등포구 여의도동 1,02-6788-3664,"평일 10:00-18:00,토요일 10:00-13:00"
국회의사당둔치운동장,대형체육시설,37.53291197,126.916404,서울특별시 영등포구 여의도동 1,02-6788-2719,06:00-18:00
군자아트센터,영화/연극/공연,37.55588791,127.077779,서울특별시 광진구 군자동 476-10,02-456-0613,09:00-22:00
궁산땅굴역사전시관,전시/기념관,37.57266755,126.838366,서울특별시 강서구 마곡동 산 3,02-2600-6552,10:00-16:00
권진규아틀리에,전시/기념관,37.59432869,127.021659,서울특별시 성북구 동선동3가 250-1,02-3675-3401,6월-10월 매월 마지막주 토요일 16:00-17:00
그라운드시소,전시/기념관,37.57784039,126.972916,서울특별시 종로구 통의동 35-17,070-4473-9746,10:00-19:00
그라운드시소,전시/기념관,37.5647299,126.98173,서울특별시 중구 소공동 1,02-1522-1796,11:00-20:00
그라운드시소성수,전시/기념관,37.54676837,127.065279,서울특별시 성동구 성수동2가 280-6,070-4473-9742,화-일 10:00-19:00
그랜드컨퍼런스룸,영화/연극/공연,37.51182391,127.059159,서울특별시 강남구 삼성동 159,02-6000-0114,정보없음
그랜드하얏트서울그랜드볼룸,영화/연극/공연,37.53976298,126.996241,서울특별시 용산구 한남동 747-7,02-797-1234,정보없음
그린아트홀,영화/연극/공연,37.50904922,126.886987,서울특별시 구로구 신도림동 337,02-3439-7748,09:00-21:00(규정시간 외에도 대관가능합니다.)
그린피아골프,대형체육시설,37.66252098,127.045534,서울특별시 도봉구 방학동 712-6,02-3493-5210,"평일 09:00-23:00,주말 08:00-22:00"
극장봄,영화/연극/공연,37.58754787,127.007362,서울특별시 성북구 삼선동1가 35,070-4127-8318,유동적
근현대사기념관,전시/기념관,37.64344107,127.002831,서울특별시 강북구 수유동 산 73-23,02-903-7580,09:00-18:00
글로벌비즈익시비션,전시/기념관,37.50662596,127.054608,서울특별시 강남구 삼성동 143-48,02-6671-6005,정보없음
글로벌에프앤씨,전시/기념관,37.50868065,127.056817,서울특별시 강남구 삼성동 157-10,02-6000-2500,09:00-18:00
금고미술관,전시/기념관,37.52863723,126.923399,서울특별시 영등포구 여의도동 16-1,02-6255-5060,09:00-18:00
금보성아트센터,전시/기념관,37.61262055,126.978078,서울특별시 종로구 평창동 111-16,02-396-8744,11:00-18:00
금속산업대전,전시/기념관,37.52827004,126.916437,서울특별시 영등포구 여의도동 17-1,02-783-8261,2022. 9. 21(수)-23(금) 오후5시까지
금천구청금나래아트홀,영화/연극/공연,37.45706565,126.896037,서울특별시 금천구 시흥동 1020,02-2627-2985,매일 09:00-19:00
금천문화원,영화/연극/공연,37.44639673,126.904445,서울특별시 금천구 시흥동 937-2,0507-1379-8552,정보없음
금천사이언스큐브,전시/기념관,37.45012744,126.916541,서울특별시 금천구 시흥동 1010-1,02-2627-2190,09:00-18:00
금천예술공장,영화/연극/공연,37.46882476,126.891928,서울특별시 금천구 독산동 333-7,02-807-4800,09:00-18:00
금호미술관,전시/기념관,37.57746671,126.979913,서울특별시 종로구 사간동 78,02-720-5114,10:00-18:00
기독교음악예술원,영화/연극/공연,37.56218482,127.009309,서울특별시 중구 장충동1가 38-51,02-2268-8685,정보없음
기독문화원,영화/연극/공연,37.45044081,126.905633,서울특별시 금천구 시흥동 907-3,02-805-3807,정보없음
기생충박물관,전시/기념관,37.55388664,126.850809,서울특별시 강서구 화곡동 1097,02-2601-3284,"월-금요일 10:00-16:00 (15:40 입장 마감),토요일 10:00-14:00 (13:40 입장 마감)"
기생충전시관,전시/기념관,37.55388664,126.850809,서울특별시 강서구 화곡동 1097,02-2601-3284,정보없음
기아360,전시/기념관,37.52755858,127.042887,서울특별시 강남구 압구정동 518,02-518-0360,9:00 AM-9:00 PM
긱라이브하우스,영화/연극/공연,37.55637961,126.932043,서울특별시 마포구 동교동 185-10,02-3141-5292,정보없음
길동생태문화센터,영화/연극/공연,37.53826544,127.154619,서울특별시 강동구 둔촌동 558,02-472-2770,09:00-18:00
